ReviewDate,CocoaPercent,CompanyLoc,Rating,Grade
2016,0.63,France,3.75,Satisfactory
2015,0.7,France,2.75,Below Average
2015,0.7,France,3,Satisfactory
2015,0.7,France,3.5,Satisfactory
2015,0.7,France,3.5,Satisfactory
2014,0.7,France,2.75,Below Average
2014,0.7,France,3.5,Satisfactory
2014,0.7,France,3.5,Satisfactory
2014,0.7,France,3.75,Satisfactory
2014,0.7,France,4,Excellent
2013,0.7,France,2.75,Below Average
2013,0.7,France,3,Satisfactory
2013,0.7,France,3.25,Satisfactory
2013,0.7,France,3.75,Satisfactory
2013,0.7,France,2.75,Below Average
2013,0.7,France,3,Satisfactory
2013,0.7,France,3.25,Satisfactory
2013,0.7,France,4,Excellent
2013,0.7,France,3.25,Satisfactory
2013,0.7,France,3.5,Satisfactory
2013,0.63,France,4,Excellent
2012,0.7,France,3.5,Satisfactory
2012,0.63,France,3.75,Satisfactory
2015,0.7,U.S.A.,3.75,Satisfactory
2015,0.7,U.S.A.,3.75,Satisfactory
2011,0.6,Fiji,2.75,Below Average
2011,0.8,Fiji,3.25,Satisfactory
2011,0.88,Fiji,3.5,Satisfactory
2011,0.72,Fiji,3.5,Satisfactory
2009,0.55,Ecuador,2.75,Below Average
2009,0.7,Ecuador,3,Satisfactory
2009,0.7,Mexico,3,Satisfactory
2011,0.75,Switzerland,3.75,Satisfactory
2010,0.75,Switzerland,2.75,Below Average
2010,0.75,Switzerland,2.75,Below Average
2014,0.65,France,2.75,Below Average
2014,0.75,France,2.75,Below Average
2014,0.75,France,3,Satisfactory
2013,0.75,France,2.5,Below Average
2013,0.75,France,2.5,Below Average
2017,0.7,Netherlands,3.5,Satisfactory
2017,0.7,Netherlands,3.5,Satisfactory
2017,0.7,Netherlands,3.5,Satisfactory
2017,0.7,Netherlands,3.5,Satisfactory
2016,0.6,U.S.A.,2.75,Below Average
2016,0.6,U.S.A.,3,Satisfactory
2016,0.6,U.S.A.,2.5,Below Average
2016,0.6,U.S.A.,2.5,Below Average
2016,0.6,U.S.A.,2.75,Below Average
2013,0.6,U.S.A.,2.5,Below Average
2013,0.6,U.S.A.,3,Satisfactory
2013,0.8,U.S.A.,3.25,Satisfactory
2013,0.6,U.S.A.,3,Satisfactory
2013,0.6,U.S.A.,3.25,Satisfactory
2011,0.7,U.S.A.,4,Excellent
2010,0.7,U.S.A.,3.75,Satisfactory
2010,0.7,U.S.A.,4,Excellent
2010,0.7,U.S.A.,3,Satisfactory
2009,0.7,U.S.A.,3,Satisfactory
2008,0.7,U.S.A.,2.75,Below Average
2007,0.7,U.S.A.,3.5,Satisfactory
2007,0.7,U.S.A.,3,Satisfactory
2007,0.7,U.S.A.,3.75,Satisfactory
2009,0.7,Spain,3,Satisfactory
2009,0.7,Spain,2.75,Below Average
2009,0.85,Spain,2.75,Below Average
2009,0.85,Spain,3,Satisfactory
2013,0.72,Peru,3.25,Satisfactory
2013,0.73,Peru,3.5,Satisfactory
2015,0.64,Canada,3,Satisfactory
2015,0.66,Canada,3.25,Satisfactory
2015,0.75,Canada,3.25,Satisfactory
2015,0.63,Canada,3.25,Satisfactory
2015,0.7,Canada,3.25,Satisfactory
2015,0.68,Canada,3.5,Satisfactory
2012,0.7,Italy,3.75,Satisfactory
2007,0.7,Italy,4,Excellent
2007,0.75,Italy,4,Excellent
2007,0.7,Italy,5,Excellent
2007,0.7,Italy,3,Satisfactory
2007,0.7,Italy,3,Satisfactory
2007,0.7,Italy,3.5,Satisfactory
2007,0.7,Italy,3.75,Satisfactory
2007,0.7,Italy,4,Excellent
2007,0.7,Italy,3.5,Satisfactory
2007,0.63,Italy,3.5,Satisfactory
2006,0.7,Italy,5,Excellent
2006,0.66,Italy,4,Excellent
2013,0.75,Brazil,3.25,Satisfactory
2010,0.85,Brazil,2.75,Below Average
2010,0.5,Brazil,3.75,Satisfactory
2010,0.75,Brazil,3.75,Satisfactory
2010,0.6,Brazil,4,Excellent
2014,0.75,U.S.A.,3,Satisfactory
2016,0.75,U.S.A.,3.5,Satisfactory
2014,0.75,France,3,Satisfactory
2014,0.72,France,2.5,Below Average
2014,0.75,France,2.75,Below Average
2014,0.75,France,3,Satisfactory
2016,0.7,U.S.A.,3.5,Satisfactory
2016,0.7,U.S.A.,3.75,Satisfactory
2016,0.73,U.S.A.,3.5,Satisfactory
2016,0.7,U.S.A.,3.25,Satisfactory
2016,0.7,U.S.A.,3.25,Satisfactory
2016,0.7,U.S.A.,3.5,Satisfactory
2016,0.7,U.S.A.,3.75,Satisfactory
2016,0.7,U.S.A.,3.5,Satisfactory
2016,0.7,U.S.A.,4,Excellent
2016,0.7,U.S.A.,4,Excellent
2016,0.7,U.S.A.,3.75,Satisfactory
2016,0.7,U.S.A.,3.25,Satisfactory
2016,0.73,U.S.A.,3.25,Satisfactory
2015,0.7,U.S.A.,3.5,Satisfactory
2015,0.68,U.S.A.,3.5,Satisfactory
2015,0.7,U.S.A.,3.75,Satisfactory
2015,0.7,U.S.A.,3.5,Satisfactory
2015,0.7,U.S.A.,3.75,Satisfactory
2015,0.7,U.S.A.,4,Excellent
2015,0.75,U.S.A.,2.75,Below Average
2015,0.7,U.S.A.,3.25,Satisfactory
2015,0.75,U.S.A.,3.5,Satisfactory
2013,0.72,U.K.,3.25,Satisfactory
2012,0.72,U.K.,3.75,Satisfactory
2011,0.72,U.K.,4,Excellent
2011,0.72,U.K.,2.75,Below Average
2010,1,U.K.,1.75,Poor
2010,0.72,U.K.,3.75,Satisfactory
2010,0.72,U.K.,3.25,Satisfactory
2010,0.72,U.K.,3.25,Satisfactory
2010,0.72,U.K.,3.5,Satisfactory
2009,0.75,U.K.,2.5,Below Average
2009,0.72,U.K.,2.75,Below Average
2009,0.72,U.K.,1.75,Poor
2009,0.8,U.K.,3,Satisfactory
2009,0.75,U.K.,3,Satisfactory
2009,0.72,U.K.,3.25,Satisfactory
2008,0.72,U.K.,3.75,Satisfactory
2013,0.72,U.K.,2.75,Below Average
2016,0.68,U.S.A.,3.75,Satisfactory
2011,0.72,U.S.A.,3.75,Satisfactory
2011,0.7,U.S.A.,3.75,Satisfactory
2009,0.77,U.S.A.,3.75,Satisfactory
2007,0.75,U.S.A.,2.5,Below Average
2007,0.7,U.S.A.,3,Satisfactory
2015,0.8,Australia,3.25,Satisfactory
2015,0.7,Australia,3.5,Satisfactory
2012,0.7,Australia,3,Satisfactory
2012,0.7,Australia,2.5,Below Average
2012,0.7,Australia,2.5,Below Average
2015,0.7,Peru,2.75,Below Average
2015,0.7,Peru,3.5,Satisfactory
2015,0.7,U.S.A.,3.5,Satisfactory
2014,0.7,U.S.A.,4,Excellent
2012,0.7,U.S.A.,3.25,Satisfactory
2012,0.7,U.S.A.,3.5,Satisfactory
2012,0.7,U.S.A.,3.75,Satisfactory
2012,0.8,Wales,2.75,Below Average
2016,0.65,U.S.A.,3.5,Satisfactory
2016,0.7,U.S.A.,3.75,Satisfactory
2016,0.65,U.S.A.,3.25,Satisfactory
2017,0.73,U.K.,3,Satisfactory
2017,0.72,U.K.,3.25,Satisfactory
2016,0.8,U.S.A.,2.75,Below Average
2016,0.7,U.S.A.,2.75,Below Average
2016,0.7,U.S.A.,2.75,Below Average
2016,0.9,U.S.A.,2.75,Below Average
2010,0.64,Belgium,2.75,Below Average
2010,0.64,Belgium,2.75,Below Average
2010,0.64,Belgium,2.75,Below Average
2010,0.71,Belgium,3.5,Satisfactory
2016,0.7,U.S.A.,3.5,Satisfactory
2016,0.7,U.S.A.,3.25,Satisfactory
2016,0.7,U.S.A.,3.5,Satisfactory
2016,0.83,Germany,2.75,Below Average
2016,0.78,Germany,3,Satisfactory
2016,0.83,Germany,3.5,Satisfactory
2013,0.74,Belgium,3.5,Satisfactory
2013,0.74,Belgium,3.5,Satisfactory
2013,0.74,Belgium,3.5,Satisfactory
2013,0.73,Belgium,4,Excellent
