Region,Year,Cocoa beans (tonnes)
Africa,1961,835368
Africa,1962,867170
Africa,1963,922621
Africa,1964,1190061
Africa,1965,874245
Africa,1966,969648
Africa,1967,982906
Africa,1968,855617
Africa,1969,1004663
Africa,1970,1120835
Africa,1971,1178239
Africa,1972,1036633
Africa,1973,966647
Africa,1974,1024998
Africa,1975,1004331
Africa,1976,876150
Africa,1977,935141
Africa,1978,909069
Africa,1979,1014544
Africa,1980,1025805
Africa,1981,1063505
Africa,1982,886804
Africa,1983,890274
Africa,1984,1073104
Africa,1985,1091393
Africa,1986,1172902
Africa,1987,1202157
Africa,1988,1527569
Africa,1989,1526251
Africa,1990,1521760
Africa,1991,1437082.2
Africa,1992,1557615.5
Africa,1993,1507815.5
Africa,1994,1573019.6
Africa,1995,1909831.2
Africa,1996,2145524.5
Africa,1997,1940483.9
Africa,1998,2171507.5
Africa,1999,1993327.6
Africa,2000,2350853.8
Africa,2001,2114951.8
Africa,2002,2140544.8
Africa,2003,2444772.5
Africa,2004,2795670.8
Africa,2005,2720082
Africa,2006,2926066.8
Africa,2007,2559619
Africa,2008,2836711
Africa,2009,2709217.2
Africa,2010,2783863
Africa,2011,3099219.5
Africa,2012,3131100
Africa,2013,3017063.2
Africa,2014,3213111.8
Africa,2015,3376036.8
Africa,2016,3179540.8
Africa,2017,3669859
Africa,2018,3716876
Africa,2019,3720536.8
Africa,2020,3987015
Africa,2021,3771117.5
Asia,1961,8229
Asia,1962,8117
Asia,1963,8044
Asia,1964,8695
Asia,1965,8541
Asia,1966,9392
Asia,1967,9703
Asia,1968,9874
Asia,1969,10733
Asia,1970,11558
Asia,1971,12329
Asia,1972,12321
Asia,1973,13466
Asia,1974,19791
Asia,1975,22134
Asia,1976,23699
Asia,1977,27293
Asia,1978,32977
Asia,1979,43794
Asia,1980,58517
Asia,1981,75350
Asia,1982,92928
Asia,1983,101933
Asia,1984,130156
Asia,1985,147686
Asia,1986,179791
Asia,1987,235972
Asia,1988,328452
Asia,1989,373198
Asia,1990,409804
