Reporter,TradeFlow,Year,Trade Value 1000USD,Quantity,Trade Value (USD)
Ecuador,Export,2021,819457.18,3.30E+08,819457180
Nigeria,Export,2021,560101.83,3.66E+08,560101830
Netherlands,Export,2021,408854.46,1.56E+08,408854460
Malaysia,Export,2021,279953.02,1.04E+08,279953020
Dominican Rep.,Export,2021,203806.9,4.65E+07,203806900
Peru,Export,2021,154714.88,5.76E+07,154714880
Dem. Rep. Congo,Export,2021,96474.01,5.17E+07,96474010
Belgium,Export,2021,68113.74,2.29E+07,68113740
European Union,Export,2021,66593.35,2.09E+07,66593350
Indonesia,Export,2021,56290.21,2.23E+07,56290210
Estonia,Export,2021,52539.24,1.84E+07,52539240
Germany,Export,2021,43227.52,1.34E+07,43227520
Colombia,Export,2021,29870.17,1.17E+07,29870170
Tanzania,Export,2021,28400.63,1.23E+07,28400630
United States of America,Export,2021,25094.92,8.55E+06,25094920
Madagascar,Export,2021,25003.11,Unknown,25003110
Togo,Export,2021,14656.1,6.76E+06,14656100
Nicaragua,Export,2021,11710.45,7.50E+06,11710450
Philippines,Export,2021,11661.65,4.42E+06,11661650
Sao Tome and Principe,Export,2021,11361.99,4.05E+06,11361990
United Arab Emirates,Export,2021,8109.84,3.13E+06,8109840
Turkey,Export,2021,6462.92,1.93E+06,6462920
Italy,Export,2021,4118.18,1.31E+06,4118180
Vietnam,Export,2021,3385.68,1.24E+06,3385680
Grenada,Export,2021,2606.7,770525,2606700
Panama,Export,2021,2460.94,664955,2460940
Brazil,Export,2021,2246.76,Unknown,2246760
Kenya,Export,2021,1904.8,475401,1904800
France,Export,2021,1807.25,421280,1807250
Switzerland,Export,2021,1513.65,222464,1513650
Honduras,Export,2021,1234.45,308978,1234450
Costa Rica,Export,2021,1229.85,411063,1229850
Dem. Rep. Congo,Export,2021,1215.27,1.47E+06,1215270
Guatemala,Export,2021,909.33,229271,909330
Belize,Export,2021,904.14,384533,904140
Canada,Export,2021,899.09,458964,899090
United Kingdom,Export,2021,864.83,223179,864830
Spain,Export,2021,758.84,388001,758840
Trinidad and Tobago,Export,2021,739.72,143099,739720
India,Export,2021,690.53,118476,690530
Bolivia,Export,2021,640.59,151173,640590
Poland,Export,2021,541.6,140662,541600
Singapore,Export,2021,306.05,113317,306050
Samoa,Export,2021,288.42,120578,288420
Czechia,Export,2021,261.58,23329,261580
Mexico,Export,2021,199.12,56179,199120
St. Vincent and the Grenadines,Export,2021,176.6,20000,176600
Austria,Export,2021,176.01,34800,176010
Bulgaria,Export,2021,158.48,13973,158480
El Salvador,Export,2021,148.91,27566.7,148910
Jamaica,Export,2021,145.87,28650.4,145870
Belarus,Export,2021,117.7,40985,117700
Thailand,Export,2021,59.64,9415.53,59640
Macedonia,Export,2021,57.63,23912,57630
Portugal,Export,2021,56.86,3580.24,56860
Australia,Export,2021,52.88,6770.83,52880
Russia,Export,2021,48.72,6173.85,48720
Denmark,Export,2021,41.12,1663,41120
Saudi Arabia,Export,2021,40.67,7500,40670
Sri Lanka,Export,2021,34.47,3914.11,34470
New Zealand,Export,2021,28.72,2606,28720
Hungary,Export,2021,27.19,2695.59,27190
Slovenia,Export,2021,21.45,1270.51,21450
Luxembourg,Export,2021,20.87,689.304,20870
South Africa,Export,2021,19.72,1746.06,19720
Sweden,Export,2021,14.92,5479.09,14920
China,Export,2021,14.77,2050,14770
Kuwait,Export,2021,13.64,1650,13640
Cambodia,Export,2021,9.18,1860,9180
Slovakia,Export,2021,7.62,375,7620
Israel,Export,2021,7,2569.86,7000
Myanmar,Export,2021,6.12,900,6120
Oman,Export,2021,5.67,15174,5670
Fiji,Export,2021,5.65,1220,5650
