country,per_capita_consumption,region
Switzerland,8.8,Europe
Austria,8.1,Europe
Germany,7.9,Europe
Ireland,7.9,Europe
United Kingdom,7.6,Europe
Sweden,6.6,Europe
Estonia,6.5,Europe
Norway,5.8,Europe
Poland,5.7,Europe
Belgium,5.6,Europe
Finland,5.4,Europe
Slovakia,5.2,Europe
New Zealand,5,Oceania
Australia,4.9,Oceania
Czech Republic,4.9,Europe
Denmark,4.9,Europe
Russia,4.8,Europe
United States,4.4,North America
France,4.3,Europe
Brazil,1.2,South America
Japan,1.2,Asia
South Africa,0.9,Africa
China,0.1,Asia
