Reporter,TradeFlow,ProductCode,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit,Trade Value
Ecuador,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,819457.18,3.30E+08,Kg,819457180
Nigeria,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,560101.83,3.66E+08,Kg,560101830
Netherlands,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,408854.46,1.56E+08,Kg,408854460
Malaysia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,279953.02,1.04E+08,Kg,279953020
Dominican Rep.,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,203806.9,4.65E+07,Kg,203806900
Peru,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,154714.88,5.76E+07,Kg,154714880
Dem. Rep. Congo,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,96474.01,5.17E+07,Kg,96474010
Belgium,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,68113.74,2.29E+07,Kg,68113740
European Union,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,66593.35,2.09E+07,Kg,66593350
Indonesia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,56290.21,2.23E+07,Kg,56290210
Estonia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,52539.24,1.84E+07,Kg,52539240
Germany,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,43227.52,1.34E+07,Kg,43227520
Colombia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,29870.17,1.17E+07,Kg,29870170
Tanzania,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,28400.63,1.23E+07,Kg,28400630
United States of America,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,25094.92,8.55E+06,Kg,25094920
Madagascar,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,25003.11,Unknown,,25003110
Togo,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,14656.1,6.76E+06,Kg,14656100
Nicaragua,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,11710.45,7.50E+06,Kg,11710450
Philippines,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,11661.65,4.42E+06,Kg,11661650
Sao Tome and Principe,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,11361.99,4.05E+06,Kg,11361990
United Arab Emirates,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,8109.84,3.13E+06,Kg,8109840
Turkey,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,6462.92,1.93E+06,Kg,6462920
Italy,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,4118.18,1.31E+06,Kg,4118180
Vietnam,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,3385.68,1.24E+06,Kg,3385680
Grenada,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,2606.7,770525,Kg,2606700
Panama,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,2460.94,664955,Kg,2460940
Brazil,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,2246.76,Unknown,,2246760
Kenya,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,1904.8,475401,Kg,1904800
France,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,1807.25,421280,Kg,1807250
Switzerland,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,1513.65,222464,Kg,1513650
Honduras,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,1234.45,308978,Kg,1234450
Costa Rica,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,1229.85,411063,Kg,1229850
Congo,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,1215.27,1.47E+06,Kg,1215270
Guatemala,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,909.33,229271,Kg,909330
Belize,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,904.14,384533,Kg,904140
Canada,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,899.09,458964,Kg,899090
United Kingdom,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,864.83,223179,Kg,864830
Spain,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,758.84,388001,Kg,758840
Trinidad and Tobago,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,739.72,143099,Kg,739720
India,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,690.53,118476,Kg,690530
Bolivia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,640.59,151173,Kg,640590
Poland,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,541.6,140662,Kg,541600
Singapore,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,306.05,113317,Kg,306050
Samoa,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,288.42,120578,Kg,288420
Czechia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,261.58,23329,Kg,261580
Mexico,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,199.12,56179,Kg,199120
St. Vincent and the Grenadines,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,176.6,20000,Kg,176600
Austria,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,176.01,34800,Kg,176010
Bulgaria,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,158.48,13973,Kg,158480
El Salvador,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,148.91,27566.7,Kg,148910
Jamaica,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,145.87,28650.4,Kg,145870
Belarus,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,117.7,40985,Kg,117700
Thailand,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,59.64,9415.53,Kg,59640
Macedonia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,57.63,23912,Kg,57630
Portugal,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,56.86,3580.24,Kg,56860
Australia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,52.88,6770.83,Kg,52880
Russia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,48.72,6173.85,Kg,48720
Denmark,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,41.12,1663,Kg,41120
Saudi Arabia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,40.67,7500,Kg,40670
Sri Lanka,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,34.47,3914.11,Kg,34470
New Zealand,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,28.72,2606,Kg,28720
Hungary,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,27.19,2695.59,Kg,27190
Slovenia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,21.45,1270.51,Kg,21450
Luxembourg,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,20.87,689.304,Kg,20870
South Africa,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,19.72,1746.06,Kg,19720
Sweden,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,14.92,5479.09,Kg,14920
China,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,14.77,2050,Kg,14770
Kuwait,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,13.64,1650,Kg,13640
Cambodia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,9.18,1860,Kg,9180
Slovakia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,7.62,375,Kg,7620
Israel,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,7,2569.86,Kg,7000
Myanmar,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,6.12,900,Kg,6120
Oman,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,5.67,15174,Kg,5670
Fiji,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,5.65,1220,Kg,5650
Greece,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,5.22,626,Kg,5220
Croatia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,4.11,266.2,Kg,4110
Finland,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,2.2,137.221,Kg,2200
Ukraine,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,2.18,102,Kg,2180
Niger,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,1.88,800,Kg,1880
Romania,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,0.85,50.9,Kg,850
Bahrain,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,0.52,25.2,Kg,520
Lebanon,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,0.37,10,Kg,370
Ireland,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,0.37,13,Kg,370
Armenia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,0.32,36,Kg,320
Lithuania,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,0.23,21.65,Kg,230
Mauritius,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,0.22,25,Kg,220
Norway,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,0.13,11,Kg,130
South Korea,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,0.09,9.736,Kg,90
Occ.Pal.Terr,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,0.08,28.4778,Kg,80
Ethiopia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,0.05,25,Kg,50
Latvia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,0.03,1,Kg,30
Mozambique,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,0.03,8,Kg,30
Namibia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,0.01,2,Kg,10
